08112001;220;A;USD;2,5563;2,5571;1,0000;1,0000
09112001;220;A;USD;2,5339;2,5347;1,0000;1,0000
12112001;220;A;USD;2,5494;2,5502;1,0000;1,0000
13112001;220;A;USD;2,5262;2,5270;1,0000;1,0000
14112001;220;A;USD;2,5291;2,5299;1,0000;1,0000
16112001;220;A;USD;2,5384;2,5392;1,0000;1,0000
19112001;220;A;USD;2,5146;2,5154;1,0000;1,0000
20112001;220;A;USD;2,5342;2,5350;1,0000;1,0000
21112001;220;A;USD;2,5403;2,5411;1,0000;1,0000
22112001;220;A;USD;2,5375;2,5383;1,0000;1,0000
23112001;220;A;USD;2,5126;2,5134;1,0000;1,0000
26112001;220;A;USD;2,4886;2,4894;1,0000;1,0000
27112001;220;A;USD;2,4596;2,4604;1,0000;1,0000
28112001;220;A;USD;2,4849;2,4857;1,0000;1,0000
29112001;220;A;USD;2,5064;2,5072;1,0000;1,0000
30112001;220;A;USD;2,5279;2,5287;1,0000;1,0000
03122001;220;A;USD;2,4664;2,4672;1,0000;1,0000
04122001;220;A;USD;2,4281;2,4289;1,0000;1,0000
05122001;220;A;USD;2,4298;2,4306;1,0000;1,0000
06122001;220;A;USD;2,4427;2,4435;1,0000;1,0000
07122001;220;A;USD;2,3997;2,4005;1,0000;1,0000
10122001;220;A;USD;2,3571;2,3579;1,0000;1,0000
11122001;220;A;USD;2,3409;2,3417;1,0000;1,0000
12122001;220;A;USD;2,3543;2,3551;1,0000;1,0000
13122001;220;A;USD;2,3839;2,3847;1,0000;1,0000
14122001;220;A;USD;2,3832;2,3840;1,0000;1,0000
17122001;220;A;USD;2,3572;2,3580;1,0000;1,0000
18122001;220;A;USD;2,3422;2,3430;1,0000;1,0000
19122001;220;A;USD;2,2922;2,2930;1,0000;1,0000
20122001;220;A;USD;2,3194;2,3202;1,0000;1,0000
21122001;220;A;USD;2,3303;2,3311;1,0000;1,0000
24122001;220;A;USD;2,3370;2,3378;1,0000;1,0000
26122001;220;A;USD;2,3137;2,3145;1,0000;1,0000
27122001;220;A;USD;2,3207;2,3215;1,0000;1,0000
28122001;220;A;USD;2,3196;2,3204;1,0000;1,0000
31122001;220;A;USD;2,3196;2,3204;1,0000;1,0000
